Title,User Rating,Letterboxd Rating,Rating Differential,Letterboxd Rating Count,Genres,Country of Origin,URL
Squid Game,3.5,3.74,-0.24,633387,"['Drama', 'Mystery']",South Korea,https://letterboxd.com//film/squid-game/
The Invisible Man,3.5,3.43,0.07,498349,"['Science Fiction', 'Horror', 'Thriller']",Australia,https://letterboxd.com//film/the-invisible-man-2020/
"Happy Halloween, Scooby-Doo!",3.5,3.09,0.41,4792,"['Comedy', 'Animation', 'Family', 'Mystery']",USA,https://letterboxd.com//film/happy-halloween-scooby-doo/
Disappearance at Clifton Hill,3.5,2.76,0.74,6315,"['Thriller', 'Drama', 'Mystery']",Canada,https://letterboxd.com//film/disappearance-at-clifton-hill/
Greatest Events of World War II in Colour,4.5,4.1,0.4,2467,['Documentary'],UK,https://letterboxd.com//film/greatest-events-of-world-war-ii-in-colour-2019/
Radhe,2.0,1.85,0.15,1980,"['Crime', 'Action', 'Adventure', 'Thriller']",India,https://letterboxd.com//film/radhe-2021/
The Vanished,3.5,2.4,1.1,7599,"['Horror', 'Action', 'Crime', 'Thriller']",USA,https://letterboxd.com//film/the-vanished-2020/
Raat Akeli Hai,3.5,3.19,0.31,4204,"['Mystery', 'Crime', 'Thriller']",India,https://letterboxd.com//film/raat-akeli-hai/
Dangerous Lies,3.0,2.02,0.98,17697,['Thriller'],Canada,https://letterboxd.com//film/dangerous-lies/
The SpongeBob Movie: Sponge on the Run,3.0,2.57,0.43,57665,"['Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",France,https://letterboxd.com//film/the-spongebob-movie-sponge-on-the-run/
Blood Red Sky,3.0,2.63,0.37,44678,"['Action', 'Thriller', 'Horror']",Germany,https://letterboxd.com//film/blood-red-sky/
The Lovebirds,3.0,2.86,0.14,60572,"['Comedy', 'Action', 'Romance']",USA,https://letterboxd.com//film/the-lovebirds/
6 Underground,3.5,2.46,1.04,136680,"['Action', 'Thriller', 'Comedy']",USA,https://letterboxd.com//film/6-underground/
In the Shadow of the Moon,3.5,2.74,0.76,30760,"['Thriller', 'Science Fiction']",USA,https://letterboxd.com//film/in-the-shadow-of-the-moon-2019/
The Resort,1.5,1.39,0.11,6613,['Horror'],USA,https://letterboxd.com//film/the-resort-2021/
War,4.0,2.99,1.01,9423,"['Adventure', 'Action', 'Thriller']",India,https://letterboxd.com//film/war-2019/
Tremors: Shrieker Island,2.5,2.45,0.05,5000,"['Horror', 'Action']",USA,https://letterboxd.com//film/tremors-shrieker-island/
Scoob!,1.0,2.25,-1.25,76960,"['Animation', 'Family', 'Mystery', 'Comedy']",Canada,https://letterboxd.com//film/scoob/
Inside Man: Most Wanted,3.0,2.46,0.54,1556,"['Action', 'Thriller', 'Crime']",USA,https://letterboxd.com//film/inside-man-most-wanted/
The Misfits,2.0,1.87,0.13,4975,"['Action', 'Thriller']",Finland,https://letterboxd.com//film/the-misfits-2021/
Roohi,3.5,2.43,1.07,1712,"['Horror', 'Comedy']",India,https://letterboxd.com//film/roohi/
The Conjuring: The Devil Made Me Do It,3.5,2.72,0.78,322280,"['Thriller', 'Horror', 'Mystery']",USA,https://letterboxd.com//film/the-conjuring-the-devil-made-me-do-it/
Scooby-Doo! Return to Zombie Island,3.5,2.51,0.99,5671,"['Adventure', 'Horror', 'Animation', 'Mystery', 'Comedy', 'Fantasy', 'Family']",USA,https://letterboxd.com//film/scooby-doo-return-to-zombie-island/
Intrusion,3.0,2.23,0.77,19792,"['Thriller', 'Drama']",USA,https://letterboxd.com//film/intrusion-2021/
The Girl on the Train,3.0,2.08,0.92,2165,"['Drama', 'Thriller']",India,https://letterboxd.com//film/the-girl-on-the-train-2021/
Agatha and the Midnight Murders,2.5,2.99,-0.49,424,"['TV Movie', 'Drama', 'Mystery']",UK,https://letterboxd.com//film/agatha-and-the-midnight-murders/
Baaghi 3,3.0,2.05,0.95,1845,"['Action', 'Adventure', 'Thriller']",India,https://letterboxd.com//film/baaghi-3/
