,Title,User Rating,Letterboxd Rating,Letterboxd Rating Count,Genres,Country of Origin
130,Red Notice,4.5,2.58,215161,"['Crime', 'Comedy', 'Thriller', 'Action']",USA
131,Starsky & Hutch,4.0,2.78,53287,"['Comedy', 'Crime']",USA
132,Chinatown,4.5,4.21,218843,"['Crime', 'Drama', 'Mystery', 'Thriller']",USA
133,The Interview,4.5,2.91,233223,"['Action', 'Comedy']",USA
134,Candyman,4.0,3.66,140822,"['Drama', 'Thriller', 'Horror']",USA
135,The Amazing Spider-Man,4.0,3.28,638972,"['Action', 'Fantasy', 'Adventure']",USA
136,The Amazing Spider-Man 2,4.0,2.9,508756,"['Fantasy', 'Action', 'Adventure']",USA
137,Wind River,4.0,3.78,176655,"['Drama', 'Crime', 'Thriller', 'Mystery']",France
138,The Shining,5.0,4.26,1153061,"['Horror', 'Thriller']",USA
139,The Negotiator,4.0,3.39,29496,"['Drama', 'Crime', 'Thriller', 'Action']",Germany
140,The Dark Knight,5.0,4.45,1507206,"['Action', 'Thriller', 'Drama', 'Crime']",UK
141,Zoolander,4.0,3.33,293993,['Comedy'],Germany
142,Scary Movie,4.5,3.03,226556,['Comedy'],USA
143,12 Angry Men,4.5,4.52,411852,['Drama'],USA
144,Se7en,5.0,4.29,1053121,"['Thriller', 'Crime', 'Mystery']",USA
145,The Book of Manning,4.5,3.58,292,['Documentary'],USA
146,Hustle,4.0,3.58,197205,"['Drama', 'Comedy']",USA
147,Moon Knight,4.0,3.69,229672,['Mystery'],USA
148,The Imitation Game,5.0,3.77,484352,"['History', 'Drama', 'War', 'Thriller']",UK
149,Minions: The Rise of Gru,4.0,3.36,275466,"['Family', 'Animation', 'Comedy']",USA
150,Spider-Man: No Way Home,4.5,3.99,1396623,"['Action', 'Adventure', 'Science Fiction']",USA
151,The Unbearable Weight of Massive Talent,4.0,3.5,236093,"['Action', 'Comedy', 'Crime']",USA
152,Thor: Love and Thunder,3.0,2.75,677845,"['Action', 'Fantasy', 'Comedy']",USA
153,Scream,4.0,3.37,371312,"['Horror', 'Mystery', 'Thriller']",USA
154,Turning Red,3.0,3.69,545565,"['Fantasy', 'Comedy', 'Family', 'Animation']",USA
155,Don't Look Up,3.5,3.11,1029778,"['Comedy', 'Drama', 'Science Fiction']",USA
156,Hawkeye,4.0,3.49,187882,"['Comedy', 'Drama']",USA
157,Death on the Nile,3.5,2.75,215313,"['Thriller', 'Crime', 'Mystery']",UK
158,Operation Mincemeat,3.5,3.14,24741,"['Drama', 'War', 'History']",Spain
159,Eternals,4.0,2.94,557489,"['Science Fiction', 'Action', 'Adventure']",Canada
160,A Classic Horror Story,3.5,2.77,41393,"['Horror', 'Mystery']",Italy
161,Venom: Let There Be Carnage,3.0,2.67,346742,"['Action', 'Adventure', 'Science Fiction']",USA
162,Shang-Chi and the Legend of the Ten Rings,4.0,3.6,677239,"['Fantasy', 'Adventure', 'Action']",USA
163,No Time to Die,3.5,3.5,419709,"['Adventure', 'Thriller', 'Action']",UK
164,Black Widow,3.5,3.12,691907,"['Action', 'Adventure', 'Science Fiction']",USA
165,WandaVision,4.0,3.85,408295,"['Mystery', 'Drama']",USA
166,The Scary House,3.0,2.47,3794,"['Fantasy', 'Family', 'Horror']",Austria
167,Things Heard & Seen,3.5,2.46,40688,['Horror'],USA
168,The Rental,3.5,2.71,56988,['Horror'],USA
169,The Conjuring: The Devil Made Me Do It,3.5,2.86,236096,"['Mystery', 'Thriller', 'Horror']",USA
170,Coming 2 America,3.5,2.39,56720,['Comedy'],USA
171,Spenser Confidential,3.5,2.54,46748,"['Action', 'Thriller', 'Comedy']",USA
172,Jumanji: The Next Level,3.5,2.97,222583,"['Comedy', 'Fantasy', 'Adventure']",USA
173,Inside Man: Most Wanted,3.0,2.48,1300,"['Thriller', 'Action', 'Crime']",USA
174,Zombieland: Double Tap,3.0,3.04,237212,"['Comedy', 'Horror']",USA
175,Disappearance at Clifton Hill,4.0,2.72,5475,"['Thriller', 'Drama', 'Mystery']",Canada
176,Triple Frontier,3.5,3.02,94421,"['Thriller', 'Crime', 'Action', 'Adventure']",USA
177,The Curse of La Llorona,3.0,2.04,62972,"['Horror', 'Mystery', 'Thriller']",USA
178,D-Railed,3.0,1.87,810,['Horror'],USA
179,Scary Stories to Tell in the Dark,4.0,2.84,136259,"['Horror', 'Thriller']",Canada
180,Fractured,4.0,3.05,78604,['Thriller'],USA
181,Escape Plan: The Extractors,3.0,1.97,5809,"['Thriller', 'Adventure', 'Crime', 'Action']",China
182,Just Mercy,4.0,3.8,68885,"['Drama', 'History', 'Crime']",USA
183,Glass,3.0,2.97,259140,"['Drama', 'Science Fiction', 'Thriller']",USA
184,Venom,3.5,2.91,552220,"['Action', 'Science Fiction']",China
185,Ant-Man and the Wasp,4.0,3.05,571446,"['Science Fiction', 'Adventure', 'Action']",USA
186,Escape Plan 2: Hades,3.5,1.77,11405,"['Thriller', 'Action', 'Mystery']",China
187,Flight 666,2.5,1.97,758,"['Horror', 'Science Fiction']",USA
